pwd," prints the full name of current/working directory"
mkdir," allows users to create or make new directories"
cp," used to copy files or group of files or directory"
scp," copies files or directories between a local and a remote system or between two remote system"
gcc," stands for GNU Compiler Collections which is used to compile mainly C and C++ language"
kill," sends a signal to terminate a process"
chmod," allows you to change the access mode of a file"
chown," allows for changes in user ownership of a file, directory, or link "
echo," used to display line of text/string that are passed as an argument"
find," used to find files and directories and perform subsequent operations on them"
ls," used to list files"
rmdir," used to remove the directory, specified by the Directory parameter, from the system"
mv," used to move files and directories from one directory to another or to rename a file or directory"
man," used to display the user manual of any command that we can run on the terminal"
make," used to build executable programs and libraries from source code"
top," used to show a real-time view of running processes in Linux and displays kernel-managed tasks"
cat," used to display the contents of one or more files without having to open the file for editing"
df," used to display the amount of disk space available on the filesystem with each file name's argument"
exit," used to terminate a script"
finger," used to give details of all the users logged in"
cd," offers several ways to navigate and change the working directory"
rm," used to remove files you no longer need"
ssh," provides a secure encrypted connection between two hosts over an insecure network"
g++," used for preprocessing, compilation, assembly and linking of source code to generate an executable file"
ps, " used for viewing information related with the processes on a system"
who," used to get information about currently logged in user on to system"
alias," used to replace a string that invokes a command in the Linux shell with another user-defined string"
grep," used to search for a string in groups of files"
clear," used to clear the terminal screen"
free," used to output a summary of RAM usage, including total, used, free, shared, and available memory and swap space"